hotelName,latitude,longitude,hotelMinCharge,reviewAverage
ダイワロイネットホテル盛岡駅前,142916.27,508113.04,4000,4.51
天然温泉　さんさの湯　ドーミーイン盛岡（ドーミーイン・御宿野乃　ホテルズグループ）,142929.02,508133.56,5200,4.47
ダイワロイネットホテル盛岡,142922.15,508144.57,3500,4.34
アートホテル盛岡,142923.84,508125.54,2670,4.29
リッチモンドホテル盛岡駅前,142918.1,508106.39,4330,4.58
ホテルニューカリーナ,142915.74,508137.41,2725,4.04
ホテルエース盛岡,142925.03,508133.3,2500,3.9
ホテルルートイン矢巾,142609.07,508204.21,4025,4.45
天然温泉　百万石の湯　スーパーホテル矢巾駅東口,142598.61,508159.98,2940,4.59
ホテルルートイン盛岡駅前,142912.39,508111.04,4375,4.21
ホテルメトロポリタン盛岡　本館,142920.5,508101.04,5100,4.27
盛岡グランドホテルアネックス,142923.71,508145.38,3600,3.96
ＨＯＴＥＬ　ＪＩＮ盛岡駅前,142919.67,508085.27,2850,4.02
ホテルロイヤル盛岡,142914.91,508140.73,4446,4.5
ユニゾインエクスプレス盛岡,142909.9,508090.07,2880,3.71
ホテルパールシティ盛岡　,142921.69,508120.15,3700,3.77
ホテルブライトイン盛岡,142909.57,508168.94,3000,4.16
天然温泉　りんどうの湯　スーパーホテル盛岡,142935.42,508096.54,3700,4.1
北ホテル＜岩手県＞,142924.34,508164.78,3150,4.1
盛岡つなぎ温泉　四季亭,142812.64,507698.65,13200,4.68
盛岡つなぎ温泉　ホテル紫苑,142834.03,507705.91,11000,4.49
盛岡シティホテル,142916.82,508109.88,2850,3.73
Ｒ＆Ｂホテル盛岡駅前,142919.37,508108.67,4100,3.58
ホテル小田島,142927.52,508144.21,2750,3.7
盛岡つなぎ温泉　湯守　ホテル大観,142821.81,507691.39,10450,3.95
東横ＩＮＮ盛岡駅前,142919.83,508106.52,4568,3.76
盛岡ニューシティホテル,142921.75,508107.58,3050,3.68
東横ＩＮＮ盛岡駅南口駅前,142915.17,508113.59,4410,3.9
ＨＯＴＥＬ　ＭＡＺＡＲＩＵＭ（ホテル　マザリウム）,142908.1,508179.31,4950,4.53
ホテルメトロポリタン盛岡ニューウイング,142925.36,508104.43,5000,4.38
